               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.022051,            0.016861,           0.0045113,              0.9437,             0.97735,             0.98352,             0.76352,            0.022979,            0.018789,           0.0039042,           0.0040105,           0.0040105,           0.0040105
                 123,            0.023242,            0.016504,           0.0043153,             0.96892,             0.96665,             0.98516,              0.7822,            0.023731,            0.018171,           0.0039169,            0.003961,            0.003961,            0.003961
                 124,             0.02287,              0.0172,           0.0044362,             0.97517,             0.96729,             0.98677,             0.78635,            0.021741,            0.017878,           0.0038262,           0.0039115,           0.0039115,           0.0039115
                 125,            0.022752,            0.017876,           0.0044954,             0.95567,             0.98596,             0.98408,             0.77555,            0.022205,            0.018673,           0.0035615,            0.003862,            0.003862,            0.003862
                 126,            0.023075,            0.018161,           0.0045673,             0.95515,             0.98291,             0.98114,             0.76241,            0.022228,            0.018181,           0.0035339,           0.0038125,           0.0038125,           0.0038125
                 127,            0.022069,            0.016843,           0.0046893,             0.94785,             0.98383,             0.97681,              0.7621,            0.022987,            0.018714,           0.0036663,            0.003763,            0.003763,            0.003763
                 128,            0.020668,            0.016818,           0.0045223,             0.94662,             0.99012,             0.97196,              0.7578,            0.020827,            0.017843,            0.003551,           0.0037135,           0.0037135,           0.0037135
                 129,            0.021148,            0.016715,           0.0045609,             0.91911,             0.91956,             0.96142,             0.73896,            0.024231,            0.020651,           0.0049398,            0.003664,            0.003664,            0.003664
                 130,            0.021624,            0.016494,           0.0049369,             0.92396,             0.92456,             0.97313,             0.75255,            0.023397,            0.018703,            0.004954,           0.0036145,           0.0036145,           0.0036145
                 131,            0.021874,            0.016864,           0.0044778,             0.93222,             0.94678,             0.97505,             0.77089,            0.020804,            0.018296,           0.0045427,            0.003565,            0.003565,            0.003565
                 132,            0.020112,            0.016919,           0.0041371,             0.95089,             0.94827,             0.97614,               0.773,             0.02083,            0.017561,           0.0038404,           0.0035155,           0.0035155,           0.0035155
